year,common_name,penguin_count
1979,gentoo penguin,10161.0
1979,macaroni penguin,1.0
1980,gentoo penguin,9631.0
1980,macaroni penguin,1.0
1981,gentoo penguin,7288.0
1982,gentoo penguin,2486.0
1983,gentoo penguin,7522.0
1983,macaroni penguin,6.0
1984,gentoo penguin,10608.0
1984,macaroni penguin,1.0
1985,gentoo penguin,10111.0
1986,gentoo penguin,13240.0
1987,gentoo penguin,32569.0
1987,macaroni penguin,158.0
1988,gentoo penguin,19533.0
1989,gentoo penguin,3039.0
1989,macaroni penguin,194.0
1990,gentoo penguin,8169.0
1990,macaroni penguin,3.0
1991,gentoo penguin,6114.0
1992,gentoo penguin,10368.0
1993,gentoo penguin,14415.0
1993,macaroni penguin,5.0
1994,gentoo penguin,19403.0
1994,macaroni penguin,2.0
1995,gentoo penguin,11549.0
1995,macaroni penguin,11.0
1996,gentoo penguin,18071.0
1996,macaroni penguin,10.0
1997,gentoo penguin,15383.0
1997,macaroni penguin,6.0
1998,gentoo penguin,18985.0
1998,macaroni penguin,1.0
1999,gentoo penguin,22934.0
1999,macaroni penguin,6.0
2000,gentoo penguin,24605.0
2000,macaroni penguin,17.0
2001,gentoo penguin,22373.0
2001,king penguin,1.0
2002,gentoo penguin,26905.0
2003,gentoo penguin,35616.0
2003,king penguin,1.0
2003,macaroni penguin,2.0
2004,gentoo penguin,37063.0
2004,macaroni penguin,5.0
2005,gentoo penguin,47458.0
2006,gentoo penguin,43811.0
2007,gentoo penguin,42576.0
2007,king penguin,1.0
2008,gentoo penguin,65276.0
2008,king penguin,1.0
2008,macaroni penguin,4.0
2009,gentoo penguin,73833.0
2009,king penguin,3.0
2009,macaroni penguin,1.0
2010,gentoo penguin,88591.0
2010,king penguin,1.0
2010,macaroni penguin,4.0
2011,gentoo penguin,80420.0
2011,macaroni penguin,13.0
2012,gentoo penguin,75867.0
2012,macaroni penguin,4.0
2013,gentoo penguin,80978.0
2013,macaroni penguin,2.0
2014,gentoo penguin,84598.0
2014,macaroni penguin,3.0
2015,gentoo penguin,98368.0
2015,macaroni penguin,934.0
2016,gentoo penguin,91538.0
2016,macaroni penguin,502.0
2017,gentoo penguin,50133.0
2017,macaroni penguin,4.0
2018,gentoo penguin,83588.0
2018,macaroni penguin,1.0
2019,gentoo penguin,56698.0
2019,macaroni penguin,4.0
2020,gentoo penguin,51726.0
2020,king penguin,6.0
2020,macaroni penguin,1677.0
2021,gentoo penguin,10210.0
2022,gentoo penguin,34314.0
2022,macaroni penguin,15.0
2023,gentoo penguin,35816.0
2024,gentoo penguin,36024.0
2024,macaroni penguin,1.0
2025,gentoo penguin,29581.0
